City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
220,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
224,Lagoa,PT,72.05,broken clouds,39.05,-27.9833,Casa Das Faias
226,Atikokan,CA,79.05,broken clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
227,Sola,VU,75.38,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
228,Bend,US,73.33,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
230,Chauk,MM,80.53,overcast clouds,20.8833,94.8167,Bo Khin Guest House
231,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
232,Fuyang,CN,77.05,moderate rain,32.9,115.8167,Fuyang Wanda Realm Hotel
233,Dakar,SN,83.28,few clouds,14.6937,-17.4441,Redface Studios Meublés
234,Santa Isabel Do Rio Negro,BR,76.23,overcast clouds,-0.4139,-65.0192,Hotel GSA
238,Sale,MA,72.28,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
240,Altinopolis,BR,76.35,broken clouds,-21.0256,-47.3739,Hotel Vila das Palmeiras
241,Bitung,ID,74.25,broken clouds,1.4451,125.1824,K2 Lembeh
242,Nisia Floresta,BR,81.41,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
252,Poiares,PT,74.35,clear sky,40.2103,-8.2575,Casa nas Serras
256,Benguela,AO,72.75,broken clouds,-12.5763,13.4055,Hotel Praia Morena
263,Hearst,CA,77.83,overcast clouds,49.6835,-83.6665,Companion
266,Namatanai,PG,77.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
269,Lorengau,PG,79.86,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
271,Butaritari,KI,82.76,few clouds,3.0707,172.7902,Isles Sunset Lodge
272,Shubarshi,KZ,75.54,clear sky,48.5872,57.1869,
278,Machilipatnam,IN,84.83,scattered clouds,16.1667,81.1333,R&B Bungalow
279,Maragogi,BR,75.11,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
301,Ikom,NG,72.52,light rain,5.9667,8.7063,Reho Farm & Resort
303,Lata,PT,74.05,clear sky,40.1629,-8.3327,Casa Maquia
