City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
231,Ribeira Grande,PT,38.5167,-28.7,77.4,69,75,12.66,broken clouds
232,Fuyang,CN,32.9,115.8167,77.05,83,100,3.27,moderate rain
233,Dakar,SN,14.6937,-17.4441,83.28,77,19,11.48,few clouds
234,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,76.23,89,100,0.13,overcast clouds
235,Buraydah,SA,26.326,43.975,97.16,12,100,10.33,overcast clouds
236,Egvekinot,RU,66.3167,-179.1667,42.33,61,40,12.59,scattered clouds
237,Baghdad,IQ,33.3406,44.4009,94.91,18,0,3.44,clear sky
238,Sale,MA,34.0389,-6.8166,72.28,78,75,9.22,broken clouds
239,Tonj,SS,7.2737,28.6822,71.53,93,100,1.54,light rain
240,Altinopolis,BR,-21.0256,-47.3739,76.35,26,51,6.06,broken clouds
241,Bitung,ID,1.4451,125.1824,74.25,85,77,7.87,broken clouds
242,Nisia Floresta,BR,-6.0911,-35.2086,81.41,60,31,15.93,scattered clouds
243,Kamloops,CA,50.6665,-120.3192,66.58,61,95,8.01,overcast clouds
244,Pierre,US,44.3683,-100.351,92.32,33,1,0.0,clear sky
245,Les Cayes,HT,18.2,-73.75,87.15,61,75,10.0,broken clouds
246,Alihe,CN,50.5667,123.7167,60.67,98,100,4.83,overcast clouds
247,Taoudenni,ML,22.6783,-3.9836,109.62,7,11,14.36,few clouds
248,Nushki,PK,29.5542,66.0215,86.54,10,0,5.7,clear sky
249,Severo-Kurilsk,RU,50.6789,156.125,53.08,85,12,11.56,few clouds
250,Licata,IT,37.1071,13.9461,90.07,74,0,4.81,clear sky
251,Beringovskiy,RU,63.05,179.3167,43.47,88,100,21.65,light rain
252,Poiares,PT,40.2103,-8.2575,74.35,58,0,6.24,clear sky
253,Portmore,JM,17.9702,-76.8672,89.56,69,40,14.97,scattered clouds
254,Airai,TL,-8.9266,125.4092,54.16,88,33,1.43,scattered clouds
255,Adrar,MR,20.5022,-10.0711,97.23,12,10,11.74,clear sky
256,Benguela,AO,-12.5763,13.4055,72.75,85,79,6.51,broken clouds
257,Perth,AU,-31.9333,115.8333,59.18,93,75,17.27,broken clouds
258,Taldan,RU,53.6667,124.8,52.09,85,100,8.14,overcast clouds
259,San Patricio,US,28.017,-97.5169,95.41,50,29,20.02,scattered clouds
260,Lavrentiya,RU,65.5833,-171.0,43.97,81,87,13.27,overcast clouds
261,Puerto Padre,CU,21.195,-76.6028,96.01,54,38,12.75,scattered clouds
262,Mwinilunga,ZM,-11.7358,24.4293,64.15,29,2,5.41,clear sky
263,Hearst,CA,49.6835,-83.6665,77.83,52,93,10.45,overcast clouds
264,Tiksi,RU,71.6872,128.8694,45.59,85,22,4.25,few clouds
265,Severo-Yeniseyskiy,RU,60.3725,93.0408,54.82,77,100,3.85,overcast clouds
266,Namatanai,PG,-3.6667,152.4333,77.58,82,98,6.29,light rain
267,Jalalabad,AF,34.4265,70.4515,88.39,42,0,4.18,clear sky
268,Nouadhibou,MR,20.931,-17.0347,71.58,83,4,17.27,clear sky
269,Lorengau,PG,-2.0226,147.2712,79.86,80,75,7.76,broken clouds
270,Arona,ES,28.0996,-16.681,68.99,71,75,5.99,broken clouds
271,Butaritari,KI,3.0707,172.7902,82.76,64,23,10.13,few clouds
272,Shubarshi,KZ,48.5872,57.1869,75.54,33,5,7.63,clear sky
273,Christchurch,NZ,-43.5333,172.6333,37.99,79,75,1.99,light rain and snow
274,Codrington,AU,-38.2667,141.9667,45.01,75,100,9.44,overcast clouds
275,Neuquen,AR,-38.9516,-68.0591,53.49,40,0,3.44,clear sky
276,Isangel,VU,-19.55,169.2667,68.9,78,100,13.73,overcast clouds
277,Malinovoye Ozero,RU,51.6753,79.7825,64.36,77,78,7.09,broken clouds
278,Machilipatnam,IN,16.1667,81.1333,84.83,78,49,8.01,scattered clouds
279,Maragogi,BR,-9.0122,-35.2225,75.11,81,85,11.25,overcast clouds
280,Half Moon Bay,US,37.4636,-122.4286,89.82,69,1,1.99,clear sky
281,Kuandian,CN,40.7286,124.7847,67.75,88,4,2.39,clear sky
282,El Cobre,CU,20.0489,-75.9469,89.04,66,40,11.5,scattered clouds
283,Balsas,BR,-7.5325,-46.0356,95.2,21,2,6.93,clear sky
284,Fort Smith,US,35.3859,-94.3986,92.37,62,1,1.99,clear sky
285,Pacific Grove,US,36.6177,-121.9166,85.01,77,1,8.01,clear sky
286,Maniitsoq,GL,65.4167,-52.9,41.79,85,42,2.86,scattered clouds
287,Bilibino,RU,68.0546,166.4372,47.84,48,88,2.3,overcast clouds
288,Lyngseidet,NO,69.5763,20.2189,69.8,64,76,12.12,broken clouds
289,Colares,PT,38.7992,-9.4469,70.79,56,20,24.16,few clouds
290,Marzuq,YE,14.4,46.4667,88.56,26,99,7.14,overcast clouds
291,Riyadh,SA,24.6877,46.7219,100.54,12,14,11.68,few clouds
292,Pinega,RU,64.7001,43.3936,57.29,70,100,4.99,light rain
293,Bongandanga,CD,1.5,21.05,70.16,92,54,2.77,light rain
294,Tommot,RU,58.9564,126.2925,56.39,93,10,2.82,clear sky
295,Ostrovnoy,RU,68.0531,39.5131,52.07,73,0,10.69,clear sky
296,Turukhansk,RU,65.8167,87.9833,56.16,64,24,8.32,few clouds
297,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,95,75,9.22,broken clouds
298,Kaunas,LT,54.9,23.9,64.58,82,75,4.61,broken clouds
299,Saldanha,ZA,-33.0117,17.9442,57.74,85,100,20.24,light rain
300,Kununurra,AU,-15.7667,128.7333,53.58,76,0,3.44,clear sky
301,Ikom,NG,5.9667,8.7063,72.52,97,100,3.4,light rain
302,Cacu,BR,-18.5567,-51.1308,86.92,21,6,6.78,clear sky
303,Lata,PT,40.1629,-8.3327,74.05,59,0,6.67,clear sky
304,Jumla,NP,29.2747,82.1838,63.09,98,100,1.57,overcast clouds
305,Timbiqui,CO,2.7717,-77.6654,82.2,71,81,7.83,light rain
306,La Ronge,CA,55.1001,-105.2842,60.58,75,70,11.95,broken clouds
307,Benito Juarez,MX,19.385,-99.165,73.22,43,75,4.61,broken clouds
308,Fenoarivo Atsinanana,MG,-17.3667,49.4167,66.87,87,24,3.62,few clouds
309,Hobyo,SO,5.3505,48.5268,76.96,86,83,25.72,broken clouds
310,Butembo,CD,0.15,29.2833,57.04,97,12,1.97,few clouds
311,Seminole,US,28.7086,-81.2081,99.14,62,20,3.0,few clouds
312,Kishtwar,IN,33.3167,75.7667,65.43,91,16,3.58,few clouds
313,Gizo,SB,-8.103,156.8419,80.46,73,30,3.83,scattered clouds
314,Fairbanks,US,64.8378,-147.7164,63.1,79,90,5.75,overcast clouds
315,Baiyin,CN,36.5583,104.2081,63.48,57,10,1.83,clear sky
316,Thompson,CA,55.7435,-97.8558,64.56,94,90,8.05,mist
317,Toora-Khem,RU,52.4675,96.11,52.02,93,4,1.83,clear sky
318,Dharchula,IN,29.85,80.5333,73.49,95,100,0.94,overcast clouds
319,Caravelas,BR,-17.7125,-39.2481,73.65,68,0,8.34,clear sky
320,Biltine,TD,14.5333,20.9167,77.49,75,100,13.89,overcast clouds
321,Mananara,MG,-16.1667,49.7667,65.3,91,36,4.38,scattered clouds
322,Elat,IL,29.5581,34.9482,98.44,25,0,12.66,clear sky
323,Ahuimanu,US,21.4447,-157.8378,82.11,64,40,12.66,scattered clouds
324,Faanui,PF,-16.4833,-151.75,78.91,74,9,13.69,clear sky
325,Naze,JP,28.3667,129.4833,77.67,88,4,13.49,clear sky
326,Camopi,GF,3.1655,-52.3158,81.99,69,100,2.13,overcast clouds
327,Cavalcante,BR,-13.7975,-47.4583,81.16,26,0,7.4,clear sky
328,Dalbandin,PK,28.8947,64.4101,89.74,11,0,7.07,clear sky
329,Henties Bay,NA,-22.116,14.2845,56.86,92,55,12.17,broken clouds
330,Canico,PT,32.6333,-16.85,75.0,78,40,9.22,scattered clouds
331,Waingapu,ID,-9.6567,120.2641,72.81,80,59,7.9,broken clouds
332,Puerto Carreno,CO,6.189,-67.4859,86.47,62,37,2.42,scattered clouds
333,Belaya Gora,RU,68.5333,146.4167,55.27,56,85,3.13,overcast clouds
334,Dunedin,NZ,-45.8742,170.5036,36.81,83,99,5.01,overcast clouds
335,Katangli,RU,51.7102,143.2326,50.02,93,100,5.19,overcast clouds
336,Yenagoa,NG,4.9247,6.2642,73.35,94,100,6.29,overcast clouds
337,Krasnokamensk,RU,50.0979,118.0369,62.38,82,100,2.77,light rain
338,Kaele,CM,10.1092,14.4508,73.72,87,42,5.46,scattered clouds
339,Clyde River,CA,70.4692,-68.5914,52.03,66,75,12.66,broken clouds
340,Port Lincoln,AU,-34.7333,135.8667,54.19,57,87,13.06,overcast clouds
341,Narasannapeta,IN,18.4167,84.05,83.16,82,98,7.61,overcast clouds
342,Carora,VE,10.1755,-70.0827,92.95,34,89,1.7,overcast clouds
343,Boffa,GN,10.1667,-14.0333,76.23,89,100,4.85,moderate rain
344,Balkhash,KZ,46.844,74.9804,74.55,47,63,18.88,broken clouds
345,Awjilah,LY,29.1081,21.2869,91.89,18,0,9.64,clear sky
346,East Longmeadow,US,42.0645,-72.5126,87.91,57,75,1.01,broken clouds
347,Hambantota,LK,6.1241,81.1185,78.8,83,83,17.67,broken clouds
348,Cairns,AU,-16.9167,145.7667,69.75,84,75,10.36,broken clouds
